Activity Name,Description,Type,Interest,State,Grade
"Della Keats Program - University of Alaska Anchorage","The Della Keats Program at the University of Alaska Anchorage is a summer program aimed at increasing the representation of Alaska Native and underrepresented students in health careers. It offers intensive residential summer programs for rising 11th and 12th grade students, focusing on preparing and inspiring them to pursue higher education in health professions. Participants engage in health science-related coursework, research projects, and medical or health care professional job shadows. The program aims to create a more diverse biomedical workforce in Alaska by increasing students' academic and socio/emotional preparation for college and careers in STEM and health-related fields.","Free; Summer; Activity; Research","Medical; Biology; Chemistry","Alaska","Juniors; Seniors"
"Game Design Competition for Girls","The Game Design Competition for Girls is a national event encouraging female-identifying or gender non-binary students in grades 3-12 to develop their own original games on a browser-based platform. The competition promotes creativity, logical thinking, and coding skills, offering participants the opportunity to win prizes and recognition. Submissions are judged on originality, aesthetics, gameplay, code complexity, and quality. Winners are announced at the Code/Art Fest, where they receive awards, certificates, and the chance for further recognition. This competition not only rewards effort but also encourages further exploration of coding and game development.","Free; Competition; Year Round","Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Doodle for Google","Doodle for Google is an annual competition inviting students to create their own Google doodle for the chance to have it featured on the Google homepage. The competition encourages creativity and innovation, allowing students to express themselves through art and design. While the specific details of the competition, such as themes and submission guidelines, are updated annually, the contest typically offers various prizes, including scholarships and technology grants for winning entries. Participation in Doodle for Google is an excellent opportunity for students interested in arts, design, and digital creativity.","Free; Competition; Year Round","English Literature Writing; Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"ArtWorks Summer Internship","ArtWorks offers a six-week paid summer internship program for high school students interested in the arts. Interns work alongside a Project Facilitator in an artistic co-op of their choice, creating art while learning key workforce development skills. The program, run by Arts For Learning Miami (A4L), aims to provide a professional arts experience and enhance students' understanding of the arts industry. The application process opens in late Spring, and students are encouraged to sign up for the A4L newsletter and follow on social media for updates.","Summer; Internship; Free","Arts Performance","Florida","Freshmen; Juniors; Seniors; Sophomores"
"Young Scholars Program-REACH","The Young Scholars Program-REACH, sponsored by the Center for Neurotechnology at the University of Washington, is a five-day summer program aimed at high school students, including graduating seniors. The program offers an introduction to neuroscience and neural engineering, neuroethics, scientific communication, and brain-computer interfaces. Participants will also tour CNT partner labs in departments such as Computer Science and Electrical Engineering. With a program cost of $500 for in-person attendance and $100 for virtual participation, the program aims to expose students to the field of neural engineering and prepare them for STEM careers, particularly in neural engineering and neuroscience.","Cost Money; Summer; Activity","Engineering; Computer Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Leadership Development Center (LDC) - American Red Cross","The Leadership Development Center (LDC) by the American Red Cross Northern California Coastal Region is a 4-day conference designed for youth ages 13-18. The conference focuses on developing core leadership skills such as teamwork, public speaking, and diversity awareness. Participants will engage in workshops on Red Cross topics like disaster preparedness and international services, aiming to cultivate a deeper understanding of community needs and foster young leaders.","Cost Money; Summer; Activity; Volunteering","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Mountains to Sound Greenway Trust Volunteer Program","The Mountains to Sound Greenway Trust Volunteer Program invites individuals to participate in environmental volunteer events within the Mountains to Sound Greenway National Heritage Area. Volunteers can engage in various activities such as restoration events, native plant nursery events, trail maintenance and construction, and the Trailhead Ambassador Program. The program emphasizes the importance of long-term care and protection for public lands, offering benefits to wildlife, forest health, water quality, and public health. This volunteering opportunity is a great way for high school students to connect with nature, contribute to environmental conservation efforts, and learn about the significance of maintaining healthy ecosystems.","Free; Year Round; Volunteering","Environmental Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"National Cyber Cup by CYBER.ORG","The National Cyber Cup (NCC) by CYBER.ORG is a free, jeopardy-style, Capture The Flag (CTF) competition designed for students interested in cybersecurity. Open to 4th-12th grade students in the United States or territories, the competition is divided into two divisions: intermediate (4-8 grade) and high school (9-12 grade). The competition aims to introduce students to the field of cybersecurity and provide a glimpse into the daily work of cybersecurity professionals. Teams must be registered by an adult coach or team sponsor, and parental or guardian consent is required for all participating students.","Free; Competition; Year Round","Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Summer Linguistic Institute for Youth Scholars (SLIYS)","The Summer Linguistic Institute for Youth Scholars (SLIYS) is an online summer program hosted by The Ohio State University's Department of Linguistics. Designed for high school students with an interest in foreign languages, SLIYS offers a deep dive into the scientific study of language. Participants will explore linguistic concepts such as phonetics, phonology, syntax, and semantics across two sessions. The program also includes consultations with native speakers of various languages, providing a practical approach to understanding linguistic diversity. SLIYS aims to broaden participants' knowledge of linguistics and inspire future study or careers in the field.","Cost Money; Summer; Activity","General","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Annenberg Youth Academy for Media and Civic Engagement","The Annenberg Youth Academy for Media and Civic Engagement at USC Annenberg School for Communication and Journalism is a four-week summer intensive program for high school students in Los Angeles County. It offers college-level courses in media communications and journalism, aiming to develop civic-minded thought leaders and innovators. The program includes writing, critical thinking, public speech, multimedia production, and more. Students also have opportunities to explore careers in media and journalism, meet scholars, and participate in educational field trips. The program runs from June 17 to July 19, 2024, and includes free breakfast and lunch, AYA swag, and college advising.","Free; Summer; Activity","English Literature Writing; Political Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Garden Apprentice Program - Brooklyn Botanic Garden","The Garden Apprentice Program (GAP) at Brooklyn Botanic Garden is a comprehensive program for teens interested in urban agriculture and environmentalism. Running from March to November, GAP offers a four-tier program where apprentices learn about botany, environmentalism, and gardening through hands-on sessions. Participants grow and harvest fruits, vegetables, and herbs, facilitate lessons for children, and explore the garden's collections. The program includes spring training, summer programming, and a weekly commitment throughout the spring and fall. Apprentices receive monetary reimbursement at the end of their apprenticeship, with Tier 4 apprentices being onboarded as BBG staff and earning an hourly wage.","Free; Year Round; Summer; Activity; Volunteering","Environmental Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Sophomores"
"Twisted Spruce Music Symposium","The Twisted Spruce Music Symposium is a unique online event designed for musicians interested in composition and guitar. Taking place over two one-week sessions in July and August, the symposium focuses on music composition, performance, career skills, and collaborative project development. Participants, who can be composers, guitarists, or auditors, engage in core classes, workshops, and individual consultations. The event culminates in a competition with significant prizes, including cash and a concert guitar. Open to participants worldwide, the symposium encourages the development of new music through collaboration and offers a platform for networking and professional growth.","Cost Money; Summer; Activity; Competition","Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"USA Biolympiad","The USA Biolympiad (USABO) is the premier biology competition for high school students in the United States, engaging nearly 10,000 talented students annually. Open to every school in the USA, USABO offers students beyond classroom experiences to reach international competitiveness in biology. The competition includes two rounds of exams, leading to a residential training program for twenty finalists who learn advanced biological concepts and lab skills. Ultimately, four students represent the USA at the International Biology Olympiad (IBO). The USABO has a remarkable track record, with all team members medaling at the IBO since 2003.","Cost Money; Year Round; Competition","Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Sound Generations Volunteer Opportunities","Sound Generations offers a variety of volunteer opportunities aimed at supporting the aging community in King County. Volunteers play a crucial role in providing low-cost and free services, including Meals on Wheels, community dining, transportation, minor home repair, and assistance services. Volunteers of all ages, backgrounds, skills, and interests are welcome, sharing a common goal to improve the quality of life for the elderly. This program not only aids in addressing the urgent needs of aging adults but also fosters an intergenerational connection within the community.","Free; Year Round; Volunteering","General","Washington","Freshmen; Juniors; Seniors; Sophomores"
"Student Assistant Program - The Seattle Public Library","The Student Assistant Program at The Seattle Public Library offers high school, G.E.D., undergraduate, and vocational school students the opportunity to gain work experience in a public library setting. Participants work 12 to 15 hours per week in temporary positions that can last up to two years if they are enrolled in school. The program is designed to help students develop job skills and is available at the Central Library and branches throughout Seattle. Eligibility requires students to be at least 16 years old and currently enrolled in an educational program. High school students must be available to work for a minimum of four consecutive months.","Year Round; Activity; Internship; Volunteering; Free","General","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Boyce Thompson Institute High School Research Internships","The Boyce Thompson Institute offers high school summer research internships in plant science research and computational biology, requiring no prior lab experience. This six-week program, open to students at least 16 years of age, provides an opportunity to work alongside mentors on pre-determined projects, participate in professional development lectures, and present findings at a scientific symposium. The program aims to expose students to scientific discovery and research skills, fostering interest in scientific careers or biological majors. Housing and meals are not provided, and students must arrange their own transportation. The internships are supported by local donors and the National Science Foundation.","Free; Summer; Research; Internship","Computer Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"The Seacole Scholars Program","The Seacole Scholars Program, named after pioneering nurse Mary Seacole, is a summer employment and internship opportunity for high school students with Certified Nursing Assistant (CNA) licenses. Run by Rhode Island Hospital's nursing department, the program is part of the Lifespan Summer Employment Program. Over seven weeks, scholars work as CNAs on nursing units, attend Lifespan Workforce and Youth Development training, and explore career options in healthcare. This paid program aims to develop essential skills for future healthcare professionals. Eligible candidates are youth ages 16 to 19 with a valid CNA license and an interest in healthcare.","Summer; Activity; Internship; Free","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors; Sophomores"
"Project Success - Harvard Medical School","Project Success at Harvard Medical School offers a unique opportunity for Boston and Cambridge high school students, particularly those underrepresented in medicine or from disadvantaged backgrounds, to engage in paid, mentored summer research internships in biomedical fields. The program runs from July 8 to August 16, 2024, and includes seminars, workshops, site visits, and career guidance, aiming to nurture interest and aptitude in biomedical careers. Eligible students must be juniors or seniors with a minimum GPA of 2.70 and have completed courses in biology, algebra, and chemistry.","Free; Summer; Research; Internship","Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"JQA International Environmental Children's Drawing Contest","The JQA International Environmental Children's Drawing Contest is an annual event that encourages children worldwide to express their awareness and thoughts about the global environment through art. The contest, now in its 24th iteration, is open to children of various ages from around the globe, showcasing a diverse range of perspectives on the theme of Earth's environment. Participants have the opportunity to have their work exhibited and to win awards. The contest aims to foster a deeper understanding and appreciation of the environment among the younger generation, promoting creativity and environmental consciousness through the medium of drawing.","Free; Activity; Competition; Year Round","Environmental Science; Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"National Robotics Challenge (NRC)","The National Robotics Challenge (NRC) is a unique robotics competition that encourages innovation and engineering without the constraints of a specific kit. Starting in 1986, it is known as the world's first robotics competition and promotes open robotics. The NRC is open to students from 6th grade through graduate school, making it accessible for high school students of all grades. The competition emphasizes using the best materials and equipment for the given problem, rather than assembling predefined parts. It offers low entry fees and does not require the purchase of a mandatory kit, allowing schools to allocate more resources towards building robots. The event takes place on April 18, 19, & 20, 2024, and aims to build the pipeline for future innovators and engineers.","Cost Money; Activity; Competition; Year Round","Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Center for Science Teaching & Learning - Discovery Summer Program","The Center for Science Teaching & Learning (CSTL) offers the Discovery Summer Program, a full-day summer science program for children aged 5-12. This program provides an immersive experience with dinosaurs, nature, live animals, and more, aiming to grow minds scientifically and through nature. Located at Tanglewood Preserve in Rockville Centre, NY, CSTL is dedicated to science literacy and offers various educational programs for kids, schools, and families. The Discovery Summer Program is designed to make learning fun and engaging, offering hands-on science experiments and explorations.","Cost Money; Year Round; Summer; Activity","Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Habitat for Humanity Youth Programs","Habitat for Humanity Youth Programs offer volunteer opportunities for individuals aged 5 to 40, aiming to instill a love of volunteering from an early age. Participants can engage in various activities, including building homes, supporting awareness-raising events, and acting as leaders, volunteers, advocates, educators, and donors. The program emphasizes meeting and working with diverse groups, understanding the needs of others, strengthening neighborhoods, and participating in meaningful work. It provides a platform for students and young professionals to learn new skills, gain confidence, and have fun while making a tangible impact on communities.","Free; Year Round; Activity; Volunteering","Public Administration","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"GRC Social Impact Essay Competition","The GRC Social Impact Essay Competition is an annual event inviting high school students worldwide to propose solutions for social good. The competition focuses on topics such as Sustainable Development, Global Health, and Technology for Good. Participants are required to write an argumentative essay identifying a global problem and offering a solution. Awards include internships at GRC university branches, Ivy League mentorship, and publication opportunities. The competition encourages critical thinking and offers valuable exposure and recognition for young aspiring leaders and innovators.","Free; Activity; Internship; Competition; Year Round","English Literature Writing; Environmental Science; Public Administration; Political Science; Computer Science; Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Volunteer at Acres of Diamonds","Acres of Diamonds offers a wide range of volunteer opportunities aimed at supporting women and children experiencing homelessness. Volunteers can engage in various activities, including working with children through games, arts, and music, hosting community dinners, performing maintenance and repair tasks, preparing rooms for new families, teaching life and relational skills workshops, providing office support, and participating in event/fundraising efforts. These opportunities are designed to build valuable skills in trauma-informed care and foster a sense of community and support. The organization welcomes individuals of all ages to contribute to their mission of creating stories of healing and hope.","Free; Year Round; Volunteering","General","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Judicial Youth Corps Program - Massachusetts","The Judicial Youth Corps (JYC) Program, offered by the Massachusetts Supreme Judicial Court, is a summer internship designed to educate high school students about the Massachusetts court system and the rule of law. This six-week program combines paid internships at local courthouses with educational sessions every Friday. Participants are mentored by judges, lawyers, clerks, probation officers, and other court personnel through interactive learning techniques such as mock trials, group discussions, and field trips. The program aims to provide students with a fundamental understanding of legal concepts and principles. Applications are open to students in Boston, Springfield, and Worcester, with specific residency or school attendance requirements for each location.","Free; Summer; Activity; Internship","Law","Massachusetts; Illinois","Freshmen; Juniors; Seniors; Sophomores"
"Kaiser Permanente Internship Opportunities","Kaiser Permanente offers internship opportunities for high school students interested in revolutionizing the future of care. Interns can engage in a variety of tasks, from analyzing financial software and designing mobile apps to performing research and clinical process improvement. The program aims to develop skills and confidence within an innovative team environment, supported by KP leaders, professional workshops, and mentoring. Internships are available across the organization, including business and IT, and last 10 to 12 weeks during the summer. This program provides a platform for students to jumpstart their careers in healthcare, offering hands-on experience, networking opportunities, and the chance to explore potential career paths.","Summer; Internship; Free","Business; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Northwest Youth Corps - Youth Community Program","The Northwest Youth Corps' Youth Community Program is a non-residential, day program designed for 15 to 18-year-olds. Participants engage in conservation projects within their local communities, such as tree planting, invasive plant removal, and trail construction. The program runs Monday through Friday, with each day consisting of 6.5 hours of work and an hour of educational lessons. Participants earn a stipend and may receive high school credit. The program aims to develop job skills, teamwork, conservation principles, and leadership abilities. It offers a unique opportunity for youth to contribute to environmental improvement while gaining valuable experience and skills.","Cost Money; Summer; Activity; Volunteering","Environmental Science; Biology","New York","Juniors; Seniors; Sophomores"
"2022 NASA Langley Student Art Contest","The 2022 NASA Langley Student Art Contest, themed ""Drawn to Explore,"" invites students in grades K-12 to creatively visualize NASA’s science, technology, aeronautical, and human exploration activities. This annual contest encourages students to express their imagination and understanding of NASA's missions through art. Participants are asked to submit print or digital artwork inspired by NASA and its various missions, including deep space exploration, Earth and climate studies, aerial vehicles, and STEM icons like Katherine Johnson. The contest offers a platform for students to showcase their artistic talents while engaging with science and technology themes. Winners are selected for each grade level, with a grand-prize winner chosen from all entries.","Free; Activity; Competition; Year Round","Arts Performance; Engineering","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
